,question_id,db_id,question,evidence,SQL,difficulty,STs
116,116,financial,"For the client whose loan was approved first in 1993/7/5, what is the increase rate of his/her account balance from 1993/3/22 to 1998/12/27?",Increase rate of his/her account balance = [(balance of date A - balance of date B) / balance of Date B] * 100%,"SELECT CAST((SUM(IIF(T3.date = '1998-12-27', T3.balance, 0)) - SUM(IIF(T3.date = '1993-03-22', T3.balance, 0))) AS REAL) * 100 / SUM(IIF(T3.date = '1993-03-22', T3.balance, 0)) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T3.account_id = T2.account_id WHERE T1.date = '1993-07-05'",challenging,"['loan', 'account', 'trans']"
117,117,financial,What is the percentage of loan amount that has been fully paid with no issue.,"Loan paid with no issue means contract finished, no problems; status = 'A' means contract finished, no problems; Percentage of accounts by condition = [(total(amount) & condition) / (total amount)] * 100%",SELECT (CAST(SUM(CASE WHEN status = 'A' THEN amount ELSE 0 END) AS REAL) * 100) / SUM(amount) FROM loan,moderate,['loan']
118,118,financial,"For loan amount less than USD100,000, what is the percentage of accounts that is still running with no issue.","Status = 'C' stands for running contract, ok so far; Percentage of accounts by condition = [(total(amount) & condition) / (total amount)] * 100.",SELECT CAST(SUM(status = 'C') AS REAL) * 100 / COUNT(account_id) FROM loan WHERE amount < 100000,moderate,['loan']
119,119,financial,"For accounts in 1993 with statement issued after transaction, list the account ID, district name and district region.",Records about district names could be found in A2; A3 contains the information about regions. 'POPLATEK PO OBRATU' stands for issuance after transaction,"SELECT T1.account_id, T2.A2, T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.frequency = 'POPLATEK PO OBRATU' AND STRFTIME('%Y', T1.date)= '1993'",moderate,"['account', 'district']"
120,120,financial,"From Year 1995 to 2000, who are the accounts holders from 'east Bohemia'. State the account ID the frequency of statement issuance.",Accounts holder refers to the person who own this account.,"SELECT T1.account_id, T1.frequency FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A3 = 'east Bohemia' AND STRFTIME('%Y', T1.date) BETWEEN '1995' AND '2000'",moderate,"['account', 'district']"
121,121,financial,List account ID and account opening date for accounts from 'Prachatice'.,A2 refers to the names of districts.,"SELECT T1.account_id, T1.date FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Prachatice'",simple,"['account', 'district']"
122,122,financial,State the district and region for loan ID '4990'.,"A2, A3 contains the information about district and region respectively.","SELECT T2.A2, T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.loan_id = 4990",simple,"['loan', 'account', 'district']"
123,123,financial,"Provide the account ID, district and region for loan amount greater than USD300,000.",A2 contains district names and A3 contains region names.,"SELECT T1.account_id, T2.A2, T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.amount > 300000",simple,"['loan', 'account', 'district']"
124,124,financial,"List the loan ID, district and average salary for loan with duration of 60 months.",A3 refers to regions; A11 refers to average salary,"SELECT T3.loan_id, T2.A2, T2.A11 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.duration = 60",simple,"['loan', 'account', 'district']"
125,125,financial,"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",Unemployment increment rate in percentage = [(unemployment rate 2016 - unemployment rate 2015) / unemployment rate 2015] * 100; unemployment rate 2015 appears in the A12; unemployment rate 2016 appears in the A13; Loan contracts which are still running where client are in debt can be presented as status = 'D',SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',challenging,"['loan', 'account', 'district']"
126,126,financial,Calculate the percentage of account from 'Decin' district for all accounts are opened in 1993.,A2 contains the information about district.,"SELECT CAST(SUM(T1.A2 = 'Decin') AS REAL) * 100 / COUNT(account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) = '1993'",simple,"['account', 'district']"
127,127,financial,List the account IDs with monthly issuance of statements.,'POPLATEK MESICNE' stands for monthly issuance,SELECT account_id FROM account WHERE Frequency = 'POPLATEK MESICNE',simple,['account']
128,128,financial,"List the top nine districts, by descending order, from the highest to the lowest, the number of female account holders.",A2 refers to districts; Female refers to gender = 'F',"SELECT T2.A2, COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' GROUP BY T2.district_id, T2.A2 ORDER BY COUNT(T1.client_id) DESC LIMIT 9",moderate,"['client', 'district']"
129,129,financial,Which are the top ten withdrawals (non-credit card) by district names for the month of January 1996?,Non-credit card withdraws refers to type = 'VYDAJ'; January 1996 can be found by date LIKE '1996-01%' in the database; A2 means district names,SELECT DISTINCT T1.A2 FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.type = 'VYDAJ' AND T3.date LIKE '1996-01%' ORDER BY A2 ASC LIMIT 10,moderate,"['trans', 'account', 'district']"
130,130,financial,How many of the account holders in South Bohemia still do not own credit cards?,A3 contains the region names; South Bohemia is one of region names.,SELECT COUNT(T3.account_id) FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.client_id = T3.client_id WHERE T1.A3 = 'south Bohemia' AND T3.type != 'OWNER',moderate,"['client', 'disp', 'district']"
131,131,financial,Which district has highest active loan?,"A3 refers to district names; Active loan refers to running contracts; Status = 'C' stands for running contract, OK so far; Status = 'D' stands for running contract, client in debt","SELECT T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.status IN ('C', 'D') GROUP BY T2.A3 ORDER BY SUM(T3.amount) DESC LIMIT 1",moderate,"['loan', 'account', 'district']"
132,132,financial,What is the average loan amount by male borrowers?,Male refers to gender = 'M',SELECT AVG(T4.amount) FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN account AS T3 ON T2.account_id = T3.account_id INNER JOIN loan AS T4 ON T3.account_id = T4.account_id WHERE T1.gender = 'M',simple,"['client', 'loan', 'disp', 'account']"
133,133,financial,"In 1996, which districts have the highest unemployment rate? List their branch location and district name.",A2 refers to district names; A13 refers to unemploymant rate in 1996,"SELECT district_id, A2 FROM district ORDER BY A13 DESC LIMIT 1",simple,['district']
134,134,financial,"In the branch where the largest number of crimes were committed in 1996, how many accounts were opened?",A16 stands for no. of committed crimes 1996,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id GROUP BY T1.A16 ORDER BY T1.A16 DESC LIMIT 1,simple,"['account', 'district']"
135,135,financial,"After making a credit card withdrawal, how many account/s with monthly issuance has a negative balance?",Negative balance means balance < 0; Operation = 'VYBER KARTOU' stands for credit card withdraw. Frequency = 'POPLATEK MESICNE' stands for monthly issurance,SELECT COUNT(T1.account_id) FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE T1.balance < 0 AND T1.operation = 'VYBER KARTOU' AND T2.frequency = 'POPLATEK MESICNE',moderate,"['trans', 'account']"
136,136,financial,"Between 1/1/1995 and 12/31/1997, how many loans in the amount of at least 250,000 per account that chose monthly statement issuance were approved?",Frequency = 'POPLATEK MESICNE' stands for monthly issurance,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.date BETWEEN '1995-01-01' AND '1997-12-31' AND T1.frequency = 'POPLATEK MESICNE' AND T2.amount >= 250000,moderate,"['loan', 'account']"
137,137,financial,How many accounts have running contracts in Branch location 1?,"Status = 'C' stands for running contract, OK so far; Status = 'D' stands for running contract, client in debt",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T1.district_id = 1 AND (T3.status = 'C' OR T3.status = 'D'),moderate,"['loan', 'account', 'district']"
138,138,financial,"In the branch where the second-highest number of crimes were committed in 1995 occurred, how many male clients are there?",Male refers to gender = 'M'; A15 stands for no. of commited crimes 1995,"SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A15 = (SELECT T3.A15 FROM district AS T3 ORDER BY T3.A15 DESC LIMIT 1, 1)",moderate,"['client', 'district']"
139,139,financial,"How many high-level credit cards have ""OWNER"" type of disposition?",High-level credit cards refers to the cards with the gold type.,SELECT COUNT(T1.card_id) FROM card AS T1 INNER JOIN disp AS T2 ON T1.disp_id = T2.disp_id WHERE T1.type = 'gold' AND T2.type = 'OWNER',simple,"['disp', 'card']"
140,140,financial,"How many accounts are there in the district of ""Pisek""?",A2 refers to district name,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Pisek',simple,"['account', 'district']"
141,141,financial,"Which districts have transactions greater than USS$10,000 in 1997?",,"SELECT T1.district_id FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T1.account_id = T3.account_id WHERE STRFTIME('%Y', T3.date) = '1997' GROUP BY T1.district_id HAVING SUM(T3.amount) > 10000",simple,"['trans', 'account', 'district']"
142,142,financial,Which accounts placed orders for household payment in Pisek?,k_symbol = 'SIPO' refers to household payment,SELECT DISTINCT T2.account_id FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.k_symbol = 'SIPO' AND T3.A2 = 'Pisek',simple,"['trans', 'account', 'district']"
143,143,financial,What are the accounts that have gold credit cards?,,SELECT T2.account_id FROM disp AS T2  INNER JOIN card AS T1 ON T1.disp_id = T2.disp_id  WHERE T1.type = 'gold',simple,"['disp', 'card']"
144,144,financial,"How much is the average amount in credit card made by account holders in a month, in year 2021?",Operation = 'VYBER KARTOU' refers to credit card withdrawn,"SELECT AVG(T4.amount) FROM card AS T1 INNER JOIN disp AS T2 ON T1.disp_id = T2.disp_id INNER JOIN account AS T3 ON T2.account_id = T3.account_id INNER JOIN trans AS T4 ON T3.account_id = T4.account_id WHERE STRFTIME('%Y', T4.date) = '1998' AND T4.operation = 'VYBER KARTOU'",moderate,"['trans', 'disp', 'card', 'account']"
145,145,financial,"Who are the account holder identification numbers whose who have transactions on the credit card with the amount is less than the average, in 1998?",Operation = 'VYBER KARTOU' refers to credit card withdrawal,"SELECT T1.account_id FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T1.date) = '1998' AND T1.operation = 'VYBER KARTOU' AND T1.amount < (SELECT AVG(amount) FROM trans WHERE STRFTIME('%Y', date) = '1998')",moderate,"['trans', 'account']"
146,146,financial,Who are the female account holders who own credit cards and also have loans?,Female refers to gender = 'F',SELECT T1.client_id FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN account AS T5 ON T2.account_id = T5.account_id INNER JOIN loan AS T3 ON T5.account_id = T3.account_id INNER JOIN card AS T4 ON T2.disp_id = T4.disp_id WHERE T1.gender = 'F',simple,"['loan', 'account', 'card', 'client', 'disp']"
147,147,financial,How many female clients' accounts are in the region of South Bohemia?,Female refers to gender = 'F'; A3 contains the region 'south Bohemia',SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A3 = 'south Bohemia',simple,"['client', 'district']"
148,148,financial,Please list the accounts whose district is Tabor that are eligible for loans.,"District refers to column A2; when the account type = 'OWNER', it's eligible for loans",SELECT T2.account_id FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type = 'OWNER' AND T1.A2 = 'Tabor',moderate,"['disp', 'account', 'district']"
149,149,financial,"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.","A11 represents the average salary; Salary and income share the similar meanings; when the account type = 'OWNER', it's eligible for loans",SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,challenging,"['disp', 'account', 'district']"
150,150,financial,How many accounts in North Bohemia has made a transaction with the partner's bank being AB?,A3 contains the region names; North Bohemia is a region.,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.bank = 'AB' AND T1.A3 = 'north Bohemia',moderate,"['trans', 'account', 'district']"
151,151,financial,Please list the name of the districts with accounts that made withdrawal transactions.,A2 refers to district name; type = 'VYDAJ' stands for withdrawal transactions,SELECT DISTINCT T1.A2 FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.type = 'VYDAJ',moderate,"['trans', 'account', 'district']"
152,152,financial,What is the average number of crimes committed in 1995 in regions where the number exceeds 4000 and the region has accounts that are opened starting from the year 1997?,A3 refers to region names; A15 stands for the average number of crimes commited in 1995.,"SELECT AVG(T1.A15) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) >= '1997' AND T1.A15 > 4000",moderate,"['account', 'district']"
153,153,financial,How many 'classic' cards are eligible for loan?,"when the account type = 'OWNER', it's eligible for loan",SELECT COUNT(T1.card_id) FROM card AS T1 INNER JOIN disp AS T2 ON T1.disp_id = T2.disp_id WHERE T1.type = 'classic' AND T2.type = 'OWNER',simple,"['disp', 'card']"
154,154,financial,How many male clients in 'Hl.m. Praha' district?,District data appears in the A2; Male means that gender = 'M',SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A2 = 'Hl.m. Praha',simple,"['client', 'district']"
155,155,financial,How many percent of 'Gold' cards were issued prior to 1998?,Percent of Gold = [ count(type = 'gold' and issued date < 1998) / count(all cards)] * 100%,"SELECT CAST(SUM(type = 'gold' AND STRFTIME('%Y', issued) < '1998') AS REAL) * 100 / COUNT(card_id) FROM card",simple,['card']
156,156,financial,Who is the owner of the account with the largest loan amount?,,SELECT T1.client_id FROM disp AS T1 INNER JOIN account AS T3 ON T1.account_id = T3.account_id INNER JOIN loan AS T2 ON T3.account_id = T2.account_id WHERE T1.type = 'OWNER' ORDER BY T2.amount DESC LIMIT 1,simple,"['loan', 'disp', 'account']"
157,157,financial,What is the number of committed crimes in 1995 in the district of the account with the id 532?,A15 contains information about number of committed crimes in 1995,SELECT T1.A15 FROM district AS T1 INNER JOIN `account` AS T2 ON T1.district_id = T2.district_id WHERE T2.account_id = 532,simple,['district']
158,158,financial,What is the district Id of the account that placed the order with the id 33333?,,SELECT T3.district_id FROM `order` AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.order_id = 33333,simple,"['account', 'district']"
159,159,financial,List all the withdrawals in cash transactions that the client with the id 3356 makes.,operation = 'VYBER' refers to withdrawal in cash,SELECT T4.trans_id FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN account AS T3 ON T2.account_id = T3.account_id INNER JOIN trans AS T4 ON T3.account_id = T4.account_id WHERE T1.client_id = 3356 AND T4.operation = 'VYBER',simple,"['client', 'trans', 'disp', 'account']"
160,160,financial,"Among the weekly issuance accounts, how many have a loan of under 200000?",frequency = 'POPLATEK TYDNE' stands for weekly issuance,SELECT COUNT(T1.account_id) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE T2.frequency = 'POPLATEK TYDNE' AND T1.amount < 200000,simple,"['loan', 'account']"
161,161,financial,What type of credit card does the client with the id 13539 own?,,SELECT T3.type FROM disp AS T1 INNER JOIN client AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T1.disp_id = T3.disp_id WHERE T2.client_id = 13539,simple,"['client', 'disp', 'card']"
162,162,financial,What is the region of the client with the id 3541 from?,A3 refers to region,SELECT T1.A3 FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.client_id = 3541,simple,"['client', 'district']"
163,163,financial,Which district has the most accounts with loan contracts finished with no problems?,status = 'A' refers to loan contracts finished with no problems,SELECT T1.A2 FROM District AS T1 INNER JOIN Account AS T2 ON T1.District_id = T2.District_id INNER JOIN Loan AS T3 ON T2.Account_id = T3.Account_id WHERE T3.status = 'A' GROUP BY T1.District_id ORDER BY COUNT(T2.Account_id) DESC LIMIT 1,moderate,"['Loan', 'District', 'Account']"
164,164,financial,Who placed the order with the id 32423?,,SELECT T3.client_id FROM `order` AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T4 ON T4.account_id = T2.account_id  INNER JOIN client AS T3 ON T4.client_id = T3.client_id WHERE T1.order_id = 32423,simple,"['client', 'disp', 'account']"
165,165,financial,Please list all the transactions made by accounts from district 5.,,SELECT T3.trans_id FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T1.district_id = 5,simple,"['trans', 'account', 'district']"
166,166,financial,How many of the accounts are from Jesenik district?,,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A2 = 'Jesenik',simple,"['account', 'district']"
167,167,financial,List all the clients' IDs whose junior credit cards were issued after 1996.,After 1996 means date > = '1997-01-01,SELECT T2.client_id FROM card AS T1 INNER JOIN disp AS T2 ON T1.disp_id = T2.disp_id WHERE T1.type = 'junior' AND T1.issued >= '1997-01-01',simple,"['disp', 'card']"
168,168,financial,What percentage of clients who opened their accounts in the district with an average salary of over 10000 are women?,Female refers to gender = 'F'; Woman and female are closed; Average salary can be found in A11,SELECT CAST(SUM(T2.gender = 'F') AS REAL) * 100 / COUNT(T2.client_id) FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T1.A11 > 10000,moderate,"['client', 'district']"
169,169,financial,What was the growth rate of the total amount of loans across all accounts for a male client between 1996 and 1997?,Growth rate = (sum of amount_1997 - sum of amount_1996) / (sum of amount_1996) * 100%; Male refers to gender = 'M',"SELECT CAST((SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1997' THEN T1.amount ELSE 0 END) - SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END)) AS REAL) * 100 / SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T3 ON T3.account_id = T2.account_id INNER JOIN client AS T4 ON T4.client_id = T3.client_id WHERE T4.gender = 'M' AND T3.type = 'OWNER'",challenging,"['client', 'loan', 'disp', 'account']"
170,170,financial,How many credit card withdrawals were recorded after 1995?,Operation = 'VYBER KARTOU' means credit card withdrawals,"SELECT COUNT(account_id) FROM trans WHERE STRFTIME('%Y', date) > '1995' AND operation = 'VYBER KARTOU'",simple,['trans']
171,171,financial,What was the difference in the number of crimes committed in East and North Bohemia in 1996?,Difference in no. of committed crimes between 2 regions = Total no. of committed crimes in 1996 in north Bohemia - Total no. of committed crimes in 1996 in e ast Bohemia. A3 refers to region. Data about no. of committed crimes 1996 appears in A16,"SELECT SUM(IIF(A3 = 'east Bohemia', A16, 0)) - SUM(IIF(A3 = 'north Bohemia', A16, 0)) FROM district",moderate,['district']
172,172,financial,How many owner and disponent dispositions are there from account number 1 to account number 10?,,"SELECT SUM(type = 'OWNER') , SUM(type = 'DISPONENT') FROM disp WHERE account_id BETWEEN 1 AND 10",simple,['disp']
173,173,financial,How often does account number 3 request an account statement to be released? What was the aim of debiting 3539 in total?,k_symbol refers to the purpose of payments,"SELECT T1.frequency, T2.k_symbol FROM account AS T1 INNER JOIN (SELECT account_id, k_symbol, SUM(amount) AS total_amount FROM `order` GROUP BY account_id, k_symbol) AS T2 ON T1.account_id = T2.account_id WHERE T1.account_id = 3 AND T2.total_amount = 3539",challenging,['account']
174,174,financial,What year was account owner number 130 born?,,"SELECT STRFTIME('%Y', T1.birth_date) FROM client AS T1 INNER JOIN disp AS T3 ON T1.client_id = T3.client_id INNER JOIN account AS T2 ON T3.account_id = T2.account_id WHERE T2.account_id = 130",simple,"['client', 'disp', 'account']"
175,175,financial,How many accounts have an owner disposition and request for a statement to be generated upon a transaction?,Frequency = 'POPLATEK PO OBRATU' stands for issuance after transaction,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T2.type = 'OWNER' AND T1.frequency = 'POPLATEK PO OBRATU',moderate,"['disp', 'account']"
176,176,financial,"What is the amount of debt that client number 992 has, and how is this client doing with payments?",,"SELECT T4.amount, T4.status FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN account AS T3 on T2.account_id = T3.account_id INNER JOIN loan AS T4 ON T3.account_id = T4.account_id WHERE T1.client_id = 992",simple,"['client', 'loan', 'disp', 'account']"
177,177,financial,"What is the sum that client number 4's account has following transaction 851? Who owns this account, a man or a woman?",,"SELECT T4.balance, T1.gender FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN account AS T3 ON T2.account_id =T3.account_id INNER JOIN trans AS T4 ON T3.account_id = T4.account_id WHERE T1.client_id = 4 AND T4.trans_id = 851",simple,"['client', 'trans', 'disp', 'account']"
178,178,financial,Which kind of credit card does client number 9 possess?,,SELECT T3.type FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T1.client_id = 9,simple,"['client', 'disp', 'card']"
179,179,financial,"How much, in total, did client number 617 pay for all of the transactions in 1998?",,"SELECT SUM(T3.amount) FROM client AS T1 INNER JOIN disp AS T4 ON T1.client_id = T4.client_id INNER JOIN account AS T2 ON T4.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE STRFTIME('%Y', T3.date)= '1998' AND T1.client_id = 617",simple,"['client', 'trans', 'disp', 'account']"
180,180,financial,"Please provide a list of clients who were born between 1983 and 1987 and whose account branch is in East Bohemia, along with their IDs.",,"SELECT T1.client_id, T3.account_id FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T4 ON T1.client_id = T4.client_id INNER JOIN account AS T3 ON T2.district_id = T3.district_id and T4.account_id = T3.account_id WHERE T2.A3 = 'east Bohemia' AND STRFTIME('%Y', T1.birth_date) BETWEEN '1983' AND '1987'",moderate,"['client', 'disp', 'account', 'district']"
181,181,financial,Please provide the IDs of the 3 female clients with the largest loans.,Female refers to gender = 'F',SELECT T1.client_id FROM client AS T1 INNER JOIN disp AS T4 on T1.client_id= T4.client_id INNER JOIN account AS T2 ON T4.account_id = T2.account_id  INNER JOIN loan AS T3 ON T2.account_id = T3.account_id and T4.account_id = T3.account_id WHERE T1.gender = 'F' ORDER BY T3.amount DESC LIMIT 3,simple,"['client', 'loan', 'disp', 'account']"
182,182,financial,How many male customers who were born between 1974 and 1976 have made a payment on their home in excess of $4000?,Man and male refers to gender = 'M'; 'SIPO' stands for household payment,"SELECT COUNT(T1.account_id) FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T4 ON T2.account_id = T4.account_id INNER JOIN client AS T3 ON T4.client_id = T3.client_id WHERE STRFTIME('%Y', T3.birth_date) BETWEEN '1974' AND '1976' AND T3.gender = 'M' AND T1.amount > 4000 AND T1.k_symbol = 'SIPO'",moderate,"['client', 'trans', 'disp', 'account']"
183,183,financial,How many accounts in Beroun were opened after 1996?,,"SELECT COUNT(account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T1.date) > '1996' AND T2.A2 = 'Beroun'",simple,"['account', 'district']"
184,184,financial,How many female customers have a junior credit card?,Female refers to gender = 'F',SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T1.gender = 'F' AND T3.type = 'junior',simple,"['client', 'disp', 'card']"
185,185,financial,What proportion of customers who have accounts at the Prague branch are female?,Female refers to gender = 'F'; Percentage of female clients in Prague branch = count[female clients with accounts in Prague branch / count(clients with accounts in Prague branch)] * 100%; A3 may contain information about Prague,SELECT CAST(SUM(T2.gender = 'F') AS REAL) / COUNT(T2.client_id) * 100 FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'Prague',moderate,"['client', 'district']"
186,186,financial,What percentage of male clients request for weekly statements to be issued?,Percentage of male clients = [count(male clients who requested weekly statements / count(clients who requested weekly statements)] * 100%; Male means gender = 'M'; 'POPLATEK TYDNE' stands for weekly issuance,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T3 ON T1.district_id = T3.district_id INNER JOIN account AS T2 ON T2.district_id = T3.district_id INNER JOIN disp as T4 on T1.client_id = T4.client_id AND T2.account_id = T4.account_id WHERE T2.frequency = 'POPLATEK TYDNE',moderate,"['client', 'disp', 'account', 'district']"
187,187,financial,How many clients who choose statement of weekly issuance are Owner?,Frequency = 'POPLATEK TYDNE' refers to weekly issuance,SELECT COUNT(T2.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T2.account_id = T1.account_id WHERE T1.frequency = 'POPLATEK TYDNE' AND T2.type = 'OWNER',simple,"['disp', 'account']"
188,188,financial,"Among the accounts who have loan validity more than 24 months, list out the accounts that have the lowest approved amount and have account opening date before 1997.",,"SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE T1.duration > 24 AND STRFTIME('%Y', T2.date) < '1997' ORDER BY T1.amount ASC LIMIT 1",moderate,"['loan', 'account']"
189,189,financial,Name the account numbers of female clients who are oldest and have lowest average salary?,Female refers to 'F' in the gender; A11 contains information about average salary,"SELECT T3.account_id FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN account AS T3 ON T2.district_id = T3.district_id INNER JOIN disp AS T4 ON T1.client_id = T4.client_id AND T4.account_id = T3.account_id  WHERE T1.gender = 'F' ORDER BY T1.birth_date ASC, T2.A11 ASC LIMIT 1",moderate,"['client', 'disp', 'account', 'district']"
190,190,financial,How many clients who were born in 1920 stay in east Bohemia?,"East Bohemia appears in the column A3, which refers to the region.","SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T1.birth_date) = '1920' AND T2.A3 = 'east Bohemia'",simple,"['client', 'district']"
